               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12027,             0.13248,            0.042566,             0.73051,             0.13856,             0.12001,            0.051329,             0.09825,             0.13524,            0.033904,            0.070076,           0.0033249,           0.0033249
                   1,             0.10406,             0.14866,             0.02197,             0.78878,              0.2135,             0.21498,            0.097944,            0.089514,             0.13886,            0.023684,            0.039944,           0.0065264,           0.0065264
                   2,            0.099975,             0.14872,            0.016717,              0.7323,             0.28474,             0.31429,             0.14636,            0.086196,             0.13917,            0.018495,           0.0096801,           0.0095959,           0.0095959
                   3,            0.097412,             0.15128,            0.014151,             0.62037,             0.34428,              0.3592,             0.17466,              0.0856,              0.1392,            0.014655,            0.009406,            0.009406,            0.009406
                   4,            0.095434,             0.15143,            0.012411,             0.62693,             0.37233,             0.41403,             0.20404,             0.08419,             0.13738,            0.014128,            0.009406,            0.009406,            0.009406
                   5,            0.094205,             0.14826,             0.01162,              0.5152,             0.43918,             0.44663,             0.23165,            0.081333,              0.1395,            0.013004,            0.009208,            0.009208,            0.009208
                   6,            0.092876,              0.1496,            0.010943,             0.51855,             0.44011,             0.44553,             0.23033,            0.081426,             0.14175,             0.01252,             0.00901,             0.00901,             0.00901
                   7,            0.091838,             0.14575,            0.010369,             0.62111,             0.45743,             0.48144,             0.25549,            0.080294,              0.1356,            0.010926,            0.008812,            0.008812,            0.008812
                   8,            0.091234,             0.14442,           0.0098177,             0.61961,             0.48519,             0.50103,             0.27439,            0.079009,             0.13555,             0.01026,            0.008614,            0.008614,            0.008614
                   9,            0.090488,              0.1424,           0.0095385,             0.70916,             0.46673,             0.51875,             0.28545,            0.078895,             0.13536,           0.0099958,            0.008416,            0.008416,            0.008416
                  10,            0.089533,             0.14173,           0.0092708,             0.70746,             0.46593,             0.51122,             0.28572,            0.078874,             0.14031,            0.011175,            0.008218,            0.008218,            0.008218
                  11,            0.089617,             0.14149,           0.0090564,             0.68923,              0.4981,             0.54471,             0.30298,            0.077835,             0.13511,           0.0093634,             0.00802,             0.00802,             0.00802
                  12,            0.089345,             0.14357,           0.0087166,             0.70323,             0.50102,             0.54851,             0.30445,            0.077964,             0.13512,           0.0091223,            0.007822,            0.007822,            0.007822
                  13,            0.089621,              0.1409,           0.0083655,             0.69032,             0.48821,             0.53231,             0.30049,            0.077708,             0.13715,             0.01054,            0.007624,            0.007624,            0.007624
                  14,            0.087982,             0.14185,           0.0083448,              0.7027,              0.5118,             0.56257,             0.32216,            0.077133,             0.13514,            0.008674,            0.007426,            0.007426,            0.007426
                  15,            0.087722,             0.13813,           0.0082416,              0.7418,              0.5065,             0.56978,             0.32617,            0.076773,             0.13364,           0.0086496,            0.007228,            0.007228,            0.007228
                  16,            0.088192,             0.13984,             0.00786,             0.73382,             0.51663,             0.57396,             0.32791,            0.076958,             0.13526,           0.0083436,             0.00703,             0.00703,             0.00703
                  17,            0.087629,             0.13797,           0.0077443,             0.72363,              0.5313,              0.5801,              0.3299,            0.076527,             0.13586,           0.0084408,            0.006832,            0.006832,            0.006832
                  18,            0.087323,             0.13743,           0.0074756,             0.73566,             0.53248,             0.58966,             0.34174,            0.076363,             0.13465,            0.008075,            0.006634,            0.006634,            0.006634
                  19,            0.087394,               0.139,           0.0077311,             0.71641,             0.53852,             0.58458,             0.34094,            0.076136,             0.13572,           0.0086089,            0.006436,            0.006436,            0.006436
                  20,            0.087338,             0.13704,           0.0074242,             0.76305,             0.53482,             0.59565,             0.34662,            0.075784,             0.13562,           0.0079824,            0.006238,            0.006238,            0.006238
                  21,            0.086918,             0.13781,           0.0071468,             0.73701,             0.54635,             0.59674,             0.34577,            0.075905,             0.13472,           0.0083493,             0.00604,             0.00604,             0.00604
                  22,            0.086824,             0.13577,           0.0073278,             0.73356,             0.54866,             0.60214,             0.34992,            0.075652,             0.13546,           0.0081214,            0.005842,            0.005842,            0.005842
                  23,            0.087354,             0.13704,            0.007047,             0.72692,             0.55228,             0.59737,             0.34658,            0.075493,             0.13479,            0.008164,            0.005644,            0.005644,            0.005644
                  24,            0.086406,             0.13605,           0.0068276,             0.73643,             0.56811,             0.61189,             0.35908,            0.075466,             0.13363,            0.007908,            0.005446,            0.005446,            0.005446
                  25,            0.085863,             0.13604,           0.0068765,             0.73967,             0.55364,             0.60494,             0.35462,            0.075391,             0.13499,             0.00782,            0.005248,            0.005248,            0.005248
                  26,            0.086154,             0.13434,           0.0067838,             0.74421,             0.57029,             0.61472,             0.36425,             0.07537,              0.1347,            0.007768,             0.00505,             0.00505,             0.00505
                  27,            0.085741,             0.13416,           0.0067055,             0.77115,              0.5606,              0.6167,             0.36363,            0.075146,             0.13573,           0.0080162,            0.004852,            0.004852,            0.004852
                  28,            0.085595,             0.13147,           0.0064541,             0.74733,             0.57279,             0.62228,             0.37194,            0.074946,             0.13469,           0.0076502,            0.004654,            0.004654,            0.004654
                  29,            0.084906,              0.1301,           0.0065335,             0.73545,             0.56818,               0.622,             0.36962,            0.074916,             0.13555,           0.0076057,            0.004456,            0.004456,            0.004456
                  30,            0.085991,             0.13065,           0.0064295,             0.75443,              0.5684,             0.62143,             0.37235,            0.075061,             0.13569,           0.0078275,            0.004258,            0.004258,            0.004258
                  31,            0.085022,                0.13,           0.0063536,             0.73392,             0.57101,             0.61952,             0.36939,            0.074953,             0.13618,           0.0077982,             0.00406,             0.00406,             0.00406
                  32,            0.085311,             0.13086,           0.0060744,             0.75223,             0.58327,             0.62816,             0.37449,            0.074789,             0.13593,           0.0076793,            0.003862,            0.003862,            0.003862
                  33,            0.085473,             0.13281,           0.0061974,             0.76207,             0.57516,             0.63218,             0.37986,            0.074627,             0.13573,           0.0076122,            0.003664,            0.003664,            0.003664
                  34,            0.085263,             0.13143,           0.0063025,             0.76433,             0.57929,             0.63153,             0.37978,             0.07458,              0.1359,           0.0076443,            0.003466,            0.003466,            0.003466
                  35,            0.084715,             0.13179,            0.005953,             0.77597,             0.57646,             0.62915,             0.38031,            0.074468,             0.13536,           0.0074791,            0.003268,            0.003268,            0.003268
                  36,            0.084244,             0.13067,            0.005967,             0.77027,             0.57768,             0.63298,             0.38465,            0.074261,             0.13445,           0.0072363,             0.00307,             0.00307,             0.00307
                  37,            0.084123,             0.12908,           0.0058592,             0.76287,             0.57884,             0.63447,             0.38603,            0.074404,             0.13693,           0.0074201,            0.002872,            0.002872,            0.002872
                  38,            0.084306,              0.1292,           0.0058245,             0.76327,             0.57938,             0.63303,             0.38756,            0.074221,             0.13709,           0.0073747,            0.002674,            0.002674,            0.002674
                  39,            0.084959,             0.13151,           0.0057093,              0.7501,             0.58022,             0.63582,             0.38668,            0.074221,             0.13685,            0.007388,            0.002476,            0.002476,            0.002476
                  40,            0.084575,             0.13026,           0.0057876,             0.76308,             0.58866,             0.63728,             0.38786,            0.074115,             0.13585,           0.0075677,            0.002278,            0.002278,            0.002278
                  41,             0.08476,             0.13024,           0.0057942,             0.76076,             0.58789,             0.64122,             0.38899,            0.074198,             0.13574,           0.0073517,             0.00208,             0.00208,             0.00208
                  42,            0.083357,             0.12551,           0.0055223,             0.76543,             0.59343,             0.64344,             0.39388,            0.074097,             0.13678,           0.0071798,            0.001882,            0.001882,            0.001882
                  43,             0.08354,             0.12653,           0.0056314,             0.76592,              0.5935,             0.64428,             0.39566,            0.073894,             0.13538,           0.0072613,            0.001684,            0.001684,            0.001684
                  44,            0.083498,             0.12664,           0.0055864,             0.76213,             0.58837,             0.64269,             0.39305,            0.074094,             0.13624,           0.0073168,            0.001486,            0.001486,            0.001486
                  45,            0.083897,             0.12632,           0.0052159,             0.76075,             0.59726,             0.64563,             0.39649,            0.073981,             0.13677,           0.0072513,            0.001288,            0.001288,            0.001288
                  46,            0.083516,             0.12815,           0.0052826,             0.76214,             0.59368,             0.64491,             0.39608,               0.074,             0.13684,           0.0072294,             0.00109,             0.00109,             0.00109
                  47,            0.083494,             0.12615,           0.0053214,             0.76471,             0.59459,             0.64675,              0.3995,            0.074013,             0.13698,           0.0073252,            0.000892,            0.000892,            0.000892
                  48,            0.084219,             0.12942,           0.0050973,             0.75434,             0.59688,             0.64664,             0.39763,            0.073889,             0.13682,           0.0072734,            0.000694,            0.000694,            0.000694
                  49,            0.083496,             0.12425,           0.0052152,               0.774,             0.58973,             0.64604,              0.3987,             0.07381,             0.13718,           0.0073371,            0.000496,            0.000496,            0.000496
