                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6158,                  1.643,                 1.0892,                0.57111,                0.39902,                0.42946,                0.27156,                 1.5779,                 1.3687,                 1.0615,             0.00017508,             0.00017508,             0.00017508
                      2,                 1.5393,                 1.2131,                  1.042,                0.60198,                0.43728,                0.45961,                0.28752,                 1.6062,                 1.3558,                 1.0777,             0.00034348,             0.00034348,             0.00034348
                      3,                  1.533,                 1.1761,                 1.0398,                0.62366,                0.45392,                0.47987,                 0.2958,                  1.615,                 1.2756,                 1.0717,             0.00050493,             0.00050493,             0.00050493
                      4,                 1.5022,                 1.1298,                 1.0328,                0.67139,                0.45823,                0.50849,                0.31607,                 1.5381,                 1.1929,                 1.0451,             0.00049476,             0.00049476,             0.00049476
                      5,                 1.4709,                 1.0648,                 1.0182,                0.66245,                0.48143,                0.51703,                0.32326,                 1.5283,                 1.1782,                 1.0383,             0.00048434,             0.00048434,             0.00048434
                      6,                 1.4423,                 1.0378,                 1.0122,                0.67309,                0.51116,                0.55239,                0.35341,                 1.4985,                 1.1313,                 1.0297,             0.00047393,             0.00047393,             0.00047393
                      7,                 1.4273,                 1.0007,                  1.005,                0.68297,                0.52382,                 0.5637,                 0.3635,                 1.4826,                 1.0799,                 1.0257,             0.00046351,             0.00046351,             0.00046351
                      8,                 1.4085,                0.96902,                 1.0002,                0.69313,                0.52958,                0.57864,                0.37619,                 1.4672,                 1.0653,                 1.0169,              0.0004531,              0.0004531,              0.0004531
                      9,                  1.399,                0.95678,                0.99329,                0.71829,                0.53438,                0.58322,                0.37463,                 1.4822,                 1.0623,                 1.0189,             0.00044268,             0.00044268,             0.00044268
                     10,                 1.3739,                0.93344,                0.98662,                0.73677,                0.54358,                0.59883,                0.39206,                 1.4477,                 1.0128,                 1.0095,             0.00043227,             0.00043227,             0.00043227
                     11,                 1.3867,                0.93094,                 0.9855,                0.71006,                0.57318,                0.61096,                0.39812,                 1.4486,                 1.0047,                 1.0098,             0.00042185,             0.00042185,             0.00042185
                     12,                 1.3617,                0.91156,                0.98141,                0.71139,                0.57158,                0.61013,                0.39652,                 1.4382,                 1.0032,                 1.0069,             0.00041144,             0.00041144,             0.00041144
                     13,                  1.357,                0.89594,                0.97699,                0.72842,                0.58039,                0.62438,                0.40717,                 1.4481,                0.97748,                 1.0058,             0.00040102,             0.00040102,             0.00040102
                     14,                 1.3477,                0.88114,                0.97466,                0.73837,                 0.5953,                0.63941,                0.41765,                 1.4346,                0.95669,                 1.0052,             0.00039061,             0.00039061,             0.00039061
                     15,                 1.3336,                0.87576,                0.97334,                0.74888,                0.57511,                0.63083,                0.41138,                 1.4276,                0.98295,                 1.0035,             0.00038019,             0.00038019,             0.00038019
                     16,                 1.3315,                 0.8631,                0.96908,                0.74489,                0.59316,                0.64214,                0.41817,                 1.4214,                0.94455,                0.99946,             0.00036978,             0.00036978,             0.00036978
                     17,                 1.3112,                0.84291,                0.96535,                0.73984,                0.60566,                0.64587,                0.42233,                 1.4252,                0.94026,                 1.0046,             0.00035936,             0.00035936,             0.00035936
                     18,                 1.3146,                0.84783,                0.96551,                0.74565,                 0.6061,                0.65821,                0.43137,                 1.4179,                0.93225,                0.99586,             0.00034895,             0.00034895,             0.00034895
