               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10986,            0.083603,            0.039603,             0.75656,              0.1865,             0.17327,            0.075617,            0.089264,            0.076801,             0.02644,            0.070039,            0.003329,            0.003329
                   1,            0.093961,            0.089025,            0.018958,             0.69602,             0.25514,              0.2629,             0.11368,            0.085114,            0.079924,            0.019588,            0.039907,           0.0065305,           0.0065305
                   2,            0.091498,             0.08879,            0.015062,             0.60904,             0.30373,             0.32055,             0.16061,            0.082925,            0.080919,            0.017476,           0.0096427,           0.0095999,           0.0095999
                   3,            0.088801,            0.089523,             0.01348,             0.51187,             0.39746,             0.39763,             0.19851,            0.077942,            0.077986,            0.014028,            0.009406,            0.009406,            0.009406
                   4,            0.086328,            0.087745,            0.012035,              0.5972,             0.43969,             0.46755,              0.2438,            0.076651,            0.076248,            0.012358,            0.009406,            0.009406,            0.009406
                   5,            0.084912,            0.085601,             0.01079,             0.65368,             0.45445,             0.48725,             0.25285,            0.075184,            0.075608,            0.010721,            0.009208,            0.009208,            0.009208
                   6,            0.084028,            0.085465,            0.010165,              0.6797,             0.47138,              0.5159,             0.27811,            0.074302,            0.075101,            0.010386,             0.00901,             0.00901,             0.00901
                   7,            0.083054,            0.084757,             0.01013,             0.66974,             0.48883,             0.53297,             0.29018,            0.073659,            0.074415,           0.0097064,            0.008812,            0.008812,            0.008812
                   8,            0.082229,            0.084084,           0.0094237,             0.68456,             0.49119,             0.54149,              0.2932,            0.073604,            0.074566,           0.0090574,            0.008614,            0.008614,            0.008614
                   9,            0.081462,            0.083233,           0.0090246,             0.69404,             0.50744,             0.56004,              0.3096,            0.072515,            0.074291,           0.0091017,            0.008416,            0.008416,            0.008416
                  10,            0.080996,            0.081314,           0.0089452,             0.71815,             0.47972,             0.53936,             0.30222,            0.073013,            0.074688,           0.0096191,            0.008218,            0.008218,            0.008218
                  11,            0.081206,            0.082065,           0.0087227,             0.71001,             0.52015,             0.56871,             0.31626,             0.07192,             0.07301,           0.0084798,             0.00802,             0.00802,             0.00802
                  12,            0.080205,            0.080852,           0.0084239,              0.7045,              0.5259,             0.57852,             0.32447,             0.07158,            0.073392,           0.0083738,            0.007822,            0.007822,            0.007822
                  13,            0.080952,            0.081569,           0.0080604,                0.72,             0.51973,              0.5768,              0.3217,            0.071882,            0.073671,           0.0083998,            0.007624,            0.007624,            0.007624
                  14,            0.080306,            0.080393,           0.0079405,             0.72812,             0.53269,             0.59533,             0.34046,            0.071233,            0.073201,           0.0079527,            0.007426,            0.007426,            0.007426
                  15,            0.079752,            0.080553,           0.0078172,             0.72924,             0.53062,             0.59783,             0.34279,            0.070864,            0.073119,            0.007974,            0.007228,            0.007228,            0.007228
                  16,            0.079665,            0.081208,           0.0077568,             0.73207,             0.52998,             0.59692,             0.34126,            0.071058,            0.073684,            0.008058,             0.00703,             0.00703,             0.00703
                  17,            0.079634,            0.080476,           0.0076574,             0.70969,             0.55328,              0.6017,             0.34873,            0.070699,            0.073282,           0.0077345,            0.006832,            0.006832,            0.006832
                  18,            0.079566,             0.08106,           0.0073838,             0.69587,              0.5684,               0.609,             0.35284,            0.070467,            0.072896,           0.0076624,            0.006634,            0.006634,            0.006634
                  19,            0.078733,            0.078359,           0.0074332,             0.71196,             0.56115,             0.61256,             0.35291,            0.070249,            0.073243,           0.0076468,            0.006436,            0.006436,            0.006436
                  20,            0.078732,            0.079094,            0.007319,             0.74361,             0.55473,             0.61253,             0.35784,            0.070202,            0.072808,           0.0075334,            0.006238,            0.006238,            0.006238
                  21,            0.078826,            0.079037,            0.007246,             0.71694,             0.56813,             0.61304,             0.35988,            0.069929,            0.072625,           0.0074696,             0.00604,             0.00604,             0.00604
                  22,            0.078308,            0.079516,           0.0068944,              0.7077,             0.57434,             0.61558,             0.36318,            0.069792,            0.072415,           0.0073121,            0.005842,            0.005842,            0.005842
